"PID-- Participant ID, 4 lines per participants","Condition-- 1= Unfamiliar country eats familiar food, 2= unfamiliar country eats unfamiliar food, ","Time-- 0= pre-test, 1= post-test",GroupCountryFam,Rating-- 1(Really don't like) to 4(Really like),"FoodFam-- Which type of food children saw them with, 0= unfamiliar, 1= familiar"
329,1,0,1,4,1
329,1,1,0,1,1
329,1,0,0,2,1
330,1,0,1,4,1
330,1,0,0,3,1
330,1,1,1,4,1
330,1,1,0,3,1
331,1,0,0,2,1
331,1,1,0,3,1
331,1,0,1,4,1
331,1,1,1,4,1
332,2,1,1,4,1
332,2,0,1,3,1
332,2,1,0,3,0
332,2,0,0,2,0
333,1,0,1,3,1
333,1,1,1,4,1
333,1,0,0,4,1
333,1,1,0,3,1
334,2,1,1,4,1
334,2,1,0,3,0
334,2,0,1,4,1
334,2,0,0,3,0
335,1,0,0,3,1
335,1,1,1,4,1
335,1,0,1,4,1
335,1,1,0,3,1
336,2,0,0,3,0
336,2,1,0,3,0
336,2,1,1,4,1
336,2,0,1,3,1
337,1,0,0,2,1
337,1,0,1,3,1
337,1,1,0,3,1
337,1,1,1,4,1
339,1,0,1,1,1
339,1,1,0,4,1
339,1,0,0,4,1
339,1,1,1,3,1
340,2,0,0,4,0
340,2,0,1,4,1
340,2,1,1,4,1
340,2,1,0,4,0
342,2,0,0,4,0
342,2,1,0,4,0
342,2,0,1,1,1
342,2,1,1,2,1
343,1,1,0,3,1
343,1,0,1,4,1
343,1,1,1,4,1
343,1,0,0,3,1
344,2,1,1,4,1
344,2,0,0,3,0
344,2,1,0,3,0
344,2,0,1,4,1
345,1,1,0,3,1
345,1,0,1,4,1
345,1,0,0,3,1
345,1,1,1,4,1
346,2,1,0,4,0
346,2,0,1,4,1
346,2,0,0,4,0
346,2,1,1,4,1
347,1,1,1,3,1
347,1,1,0,3,1
347,1,0,1,3,1
347,1,0,0,3,1
348,2,1,1,4,1
348,2,1,0,4,0
348,2,0,0,4,0
348,2,0,1,4,1
349,1,0,0,3,1
349,1,1,0,3,1
349,1,0,1,4,1
349,1,1,1,4,1
350,2,0,1,4,1
350,2,1,0,4,0
350,2,1,1,4,1
350,2,0,0,4,0
351,1,1,0,4,1
351,1,0,1,3,1
351,1,1,1,3,1
351,1,0,0,4,1
352,2,1,1,4,1
352,2,1,0,4,0
352,2,0,0,3,0
352,2,0,1,4,1
353,1,1,0,4,1
353,1,0,1,4,1
353,1,1,1,3,1
353,1,0,0,3,1
354,2,0,1,3,1
354,2,1,0,4,0
354,2,1,1,3,1
354,2,0,0,4,0
355,2,1,0,3,0
355,2,1,1,3,1
355,2,0,1,3,1
355,2,0,0,3,0
356,1,1,0,4,1
356,1,1,1,4,1
356,1,0,0,4,1
356,1,0,1,4,1
358,2,1,0,3,0
358,2,0,0,3,0
358,2,1,1,4,1
358,2,0,1,4,1
362,1,0,1,4,1
362,1,1,1,4,1
362,1,0,0,3,1
362,1,1,0,4,1
363,2,0,0,4,0
363,2,1,1,4,1
363,2,1,0,4,0
363,2,0,1,4,1
364,1,1,1,2,1
364,1,1,0,3,1
364,1,0,0,3,1
364,1,0,1,3,1
365,2,1,1,4,1
365,2,0,0,4,0
365,2,0,1,4,1
365,2,1,0,3,0
366,1,0,1,4,1
366,1,0,0,3,1
366,1,1,0,4,1
366,1,1,1,4,1
367,2,0,1,4,1
367,2,1,0,4,0
367,2,1,1,4,1
367,2,0,0,4,0
369,1,1,0,4,1
369,1,0,0,4,1
369,1,1,1,4,1
369,1,0,1,4,1
370,2,0,1,4,1
370,2,1,0,4,0
370,2,1,1,4,1
370,2,0,0,3,0
372,2,1,1,4,1
372,2,0,0,3,0
372,2,1,0,4,0
372,2,0,1,4,1
373,1,1,1,4,1
373,1,1,0,2,1
373,1,0,1,4,1
373,1,0,0,4,1
374,2,1,0,4,0
374,2,0,1,4,1
374,2,0,0,4,0
374,2,1,1,4,1
376,2,1,1,4,1
376,2,0,0,1,0
376,2,0,1,4,1
376,2,1,0,3,0
377,1,1,0,1,1
377,1,1,1,4,1
377,1,0,1,4,1
377,1,0,0,3,1
378,1,1,1,4,1
378,1,0,1,4,1
378,1,1,0,3,1
378,1,0,0,4,1
379,2,0,0,3,0
379,2,1,1,4,1
379,2,0,1,4,1
379,2,1,0,3,0
380,1,0,0,3,1
380,1,1,0,3,1
380,1,0,1,4,1
380,1,1,1,4,1
381,2,0,0,3,0
381,2,1,1,3,1
381,2,1,0,3,0
381,2,0,1,3,1
